Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z
0,6.41401676738315,-13.149773450267,4.32423045291489,0.0160490511775928,0.0083959722560231,-0.0111690691323884,-2.49431886102207,7.27391663597666,0.56627442634128,0.021706955440422,0.00256683151367742,0.0041342458075215,-7.47328887950562,-0.943669656209892,2.30185706125059,0.0216470432250649,0.00394806219564641,-0.000454242823898508,-1.04975043643572,7.82081917541492,-0.677808243692482,-0.0190663342233322,-0.0262019636390601,-0.0476508833035397
0.005,6.4079737126068,-13.1379397867098,4.32116121108606,0.0161695288707382,0.00844391213794372,-0.0107629827825763,-2.49299312689118,7.26759706975014,0.565732881098526,0.0215946624587299,0.00260622856739766,0.00424128351618026,-7.46754402722263,-0.942967999987872,2.299599973814,0.0215376209911502,0.00406443219340679,-0.000650150504734521,-1.04970203638823,7.81389320574116,-0.677043080574606,-0.0192868128234855,-0.0267747131851104,-0.0482576272242617
0.01,6.40193065783069,-13.1261061231525,4.31809196925678,0.0163195124423564,0.0085050877847292,-0.00970742395227672,-2.49166739275984,7.26127750352359,0.565191335855772,0.0211578759903638,0.0026745832056482,0.00444851875919164,-7.46179917493987,-0.942266343765851,2.29734288637735,0.0211076888920646,0.00429495565809257,-0.00111606664550975,-1.04965363634051,7.80696723606739,-0.676277917456844,-0.019593633427898,-0.0279621563810518,-0.0492087185829825
0.015,6.39588760305435,-13.1142724595952,4.3150227274275,0.0162793605107841,0.00848734001195059,-0.00822487981771917,-2.49034165862895,7.25495793729706,0.564649790613004,0.0203105417418815,0.00272312392656259,0.00464081730922815,-7.45605432265688,-0.941564687543831,2.29508579894076,0.020269370044049,0.00451906230574128,-0.00169505734695123,-1.04960523629279,7.80004126639363,-0.675512754338968,-0.0196568892925681,-0.0291258653744651,-0.0496129982676137
0.02,6.38984454827812,-13.1024387960379,4.31195348559845,0.0160330335323943,0.00837280141664243,-0.00644742472420081,-2.48901592449783,7.24863837107054,0.56410824537025,0.0190854774716914,0.00275492876591129,0.00481516760029979,-7.4503094703739,-0.940863031321811,2.29282871150423,0.0190549952866723,0.0047335450481464,-0.00230944799621601,-1.04955683624553,7.79311529671986,-0.674747591221205,-0.0195042633257946,-0.0300620399778696,-0.0494432250235992
0.025,6.38380149350178,-13.0906051324806,4.3088842437694,0.0155728018733068,0.0081668258572421,-0.0045134675223566,-2.48769019036672,7.24231880484402,0.563566700127481,0.0175276981987291,0.00278104021861222,0.00496815415908945,-7.44456461809091,-0.940161375099763,2.29057162406764,0.0175084705547706,0.00493625944907522,-0.002880361259297,-1.04950843619781,7.7861893270461,-0.673982428103386,-0.0191666827988577,-0.0306098112935682,-0.0486943710159454
0.03,6.37775843872555,-13.0787714689233,4.30581500194012,0.014911801407093,0.00790553029943496,-0.00254185779614247,-2.48636445623561,7.2359992386175,0.563025154884713,0.0157007743439949,0.00281877724258877,0.00509693300926173,-7.43881976580815,-0.939459718877742,2.28831453663105,0.0156917784014045,0.00512648737550422,-0.00334854396601715,-1.04946003615009,7.77926335737233,-0.67321726498551,-0.0186716055144369,-0.0307149198517627,-0.0473952597229572
0.035,6.37171538394932,-13.066937805366,4.30274576011107,0.0140881744398394,0.0076335248442851,-0.000622606069768657,-2.48503872210472,7.22967967239094,0.562483609641959,0.013689572288429,0.00287999858926853,0.00520152485596632,-7.43307491352516,-0.938758062655722,2.28605744919446,0.013688644500075,0.00530436334318214,-0.00368620551526518,-1.04941163610283,7.77233738769856,-0.672452101867691,-0.0180396179556443,-0.0304217753503785,-0.0455973850573812
0.04,6.36567232917298,-13.0551041418087,4.29967651828179,0.0131578473413934,0.007378621543597,0.00117754942668214,-2.48371298797338,7.22336010616442,0.561942064399204,0.0115920783696579,0.00296442438334973,0.00528712104967869,-7.42733006124217,-0.938056406433731,2.28380036175787,0.0115969714736785,0.00547182600068251,-0.00389212444845264,-1.04936323605511,7.7654114180248,-0.671686938749872,-0.0172864400431096,-0.0298193363687602,-0.0433622396626131
0.045,6.35962927439675,-13.0432704782513,4.29660727645273,0.0121858737230427,0.00714954724978396,0.00280788282954491,-2.48238725384249,7.21704053993787,0.561400519156422,0.00950846357205224,0.00306416941307611,0.00536495453008305,-7.42158520895941,-0.937354750211682,2.28154327432128,0.00951766584261872,0.00563486066790729,-0.0039805031263774,-1.0493148360074,7.75848544835104,-0.670921775631996,-0.0164282005943522,-0.0290066811739433,-0.0407666185843782
0.05,6.35358621962052,-13.0314368146941,4.29353803462368,0.0112398118430606,0.00694220742434538,0.00423251676003139,-2.48106151971137,7.21072097371135,0.560858973913668,0.00753326686677068,0.00316628123246048,0.00545079386960171,-7.41584035667665,-0.936653093989662,2.27928618688469,0.00754659783959075,0.0058028676300404,-0.00397623631630806,-1.04926643595991,7.75155947867728,-0.670156612514234,-0.0154835919532216,-0.0280851031226085,-0.0379021689145469
0.055,6.34754316484418,-13.0196031511368,4.2904687927944,0.0103787187201133,0.0067473536586422,0.00543154322423509,-2.47973578558026,7.2044014074848,0.560317428670913,0.00574399599694537,0.0032548277906953,0.00556015860740542,-7.41009550439367,-0.935951437767642,2.2770290994481,0.00576286489487425,0.00598484588100922,-0.00390668281294726,-1.04921803591242,7.74463350900351,-0.669391449396358,-0.0144717281485104,-0.0271496548621634,-0.03485622589892
0.06,6.34150011006795,-13.0077694875794,4.28739955096535,0.00964161817806127,0.00656322731696466,0.00639982022268487,-2.47841005144915,7.1980818412583,0.559775883428145,0.00418849652649846,0.0033198640158014,0.00570329867517974,-7.40435065211068,-0.935249781545622,2.27477201201151,0.00421533357697203,0.00618698091963043,-0.00378712671525529,-1.0491696358647,7.73770753932975,-0.668626286278595,-0.0134131662750349,-0.0262791001968219,-0.0317008176402649
0.065,6.33545705529161,-12.9959358240221,4.28433030913607,0.00904652716585817,0.00639595539117271,0.00714342144699666,-2.47708431731826,7.19176227503175,0.559234338185377,0.00288379893045625,0.00336104452891492,0.00588557075856056,-7.39860579982769,-0.934548125323573,2.27251492457492,0.0029212559553694,0.00641388176245881,-0.00361781169775546,-1.04912123581721,7.73078156965598,-0.667861123160776,-0.0123382421786743,-0.0255289904108679,-0.0285024832731991
0.07,6.3294140005155,-12.9841021604649,4.28126106730701,0.0085967833461104,0.00624605366460686,0.00767707712329551,-2.47575858318714,7.18544270880523,0.558692792942622,0.00182302501973119,0.00338110728646807,0.0061119508037009,-7.39286094754493,-0.933846469101553,2.27025783713833,0.00187382769903359,0.00667123947865312,-0.00339285122528296,-1.04907283576949,7.72385559998222,-0.6670959600429,-0.011297001313556,-0.0249251152328991,-0.0253341426540681
