Header,HeelStrike,ToeOff
80.69,46.5811965811966,85.9649122807018
80.695,47.008547008547,86.4035087719298
80.7,47.4358974358974,86.8421052631579
80.705,47.8632478632479,87.280701754386
80.71,48.2905982905983,87.719298245614
80.715,48.7179487179487,88.1578947368421
80.72,49.1452991452991,88.5964912280702
80.725,49.5726495726496,89.0350877192982
80.73,50,89.4736842105263
80.735,50.4273504273504,89.9122807017544
80.74,50.8547008547009,90.3508771929825
80.745,51.2820512820513,90.7894736842105
80.75,51.7094017094017,91.2280701754386
80.755,52.1367521367521,91.6666666666667
80.76,52.5641025641026,92.1052631578947
80.765,52.991452991453,92.5438596491228
80.77,53.4188034188034,92.9824561403509
80.775,53.8461538461538,93.4210526315789
80.78,54.2735042735043,93.859649122807
80.785,54.7008547008547,94.2982456140351
80.79,55.1282051282051,94.7368421052632
80.795,55.5555555555556,95.1754385964912
80.8,55.982905982906,95.6140350877193
80.805,56.4102564102564,96.0526315789474
80.81,56.8376068376068,96.4912280701754
80.815,57.2649572649573,96.9298245614035
80.82,57.6923076923077,97.3684210526316
80.825,58.1196581196581,97.8070175438596
80.83,58.5470085470085,98.2456140350877
80.835,58.974358974359,98.6842105263158
80.84,59.4017094017094,99.1228070175439
80.845,59.8290598290598,99.5614035087719
80.85,60.2564102564103,100
80.855,60.6837606837607,0
80.86,61.1111111111111,0.440528634361233
80.865,61.5384615384615,0.881057268722467
80.87,61.965811965812,1.3215859030837
80.875,62.3931623931624,1.76211453744493
80.88,62.8205128205128,2.20264317180617
80.885,63.2478632478633,2.6431718061674
80.89,63.6752136752137,3.08370044052863
80.895,64.1025641025641,3.52422907488987
80.9,64.5299145299145,3.9647577092511
80.905,64.957264957265,4.40528634361233
80.91,65.3846153846154,4.84581497797357
80.915,65.8119658119658,5.2863436123348
80.92,66.2393162393162,5.72687224669604
80.925,66.6666666666667,6.16740088105727
80.93,67.0940170940171,6.6079295154185
80.935,67.5213675213675,7.04845814977974
80.94,67.9487179487179,7.48898678414097
80.945,68.3760683760684,7.9295154185022
80.95,68.8034188034188,8.37004405286344
80.955,69.2307692307692,8.81057268722467
80.96,69.6581196581197,9.2511013215859
80.965,70.0854700854701,9.69162995594714
80.97,70.5128205128205,10.1321585903084
80.975,70.9401709401709,10.5726872246696
80.98,71.3675213675214,11.0132158590308
80.985,71.7948717948718,11.4537444933921
80.99,72.2222222222222,11.8942731277533
80.995,72.6495726495726,12.3348017621145
81,73.0769230769231,12.7753303964758
81.005,73.5042735042735,13.215859030837
81.01,73.9316239316239,13.6563876651982
81.015,74.3589743589744,14.0969162995595
81.02,74.7863247863248,14.5374449339207
81.025,75.2136752136752,14.9779735682819
81.03,75.6410256410256,15.4185022026432
81.035,76.0683760683761,15.8590308370044
81.04,76.4957264957265,16.2995594713656
81.045,76.9230769230769,16.7400881057269
81.05,77.3504273504274,17.1806167400881
81.055,77.7777777777778,17.6211453744493
81.06,78.2051282051282,18.0616740088106
81.065,78.6324786324786,18.5022026431718
81.07,79.0598290598291,18.942731277533
81.075,79.4871794871795,19.3832599118943
81.08,79.9145299145299,19.8237885462555
81.085,80.3418803418803,20.2643171806167
81.09,80.7692307692308,20.704845814978
81.095,81.1965811965812,21.1453744493392
81.1,81.6239316239316,21.5859030837004
81.105,82.0512820512821,22.0264317180617
81.11,82.4786324786325,22.4669603524229
81.115,82.9059829059829,22.9074889867841
81.12,83.3333333333333,23.3480176211454
81.125,83.7606837606838,23.7885462555066
81.13,84.1880341880342,24.2290748898678
81.135,84.6153846153846,24.6696035242291
81.14,85.042735042735,25.1101321585903
81.145,85.4700854700855,25.5506607929515
81.15,85.8974358974359,25.9911894273128
81.155,86.3247863247863,26.431718061674
81.16,86.7521367521367,26.8722466960352
81.165,87.1794871794872,27.3127753303965
81.17,87.6068376068376,27.7533039647577
81.175,88.034188034188,28.1938325991189
81.18,88.4615384615385,28.6343612334802
81.185,88.8888888888889,29.0748898678414
81.19,89.3162393162393,29.5154185022026
81.195,89.7435897435897,29.9559471365639
81.2,90.1709401709402,30.3964757709251
81.205,90.5982905982906,30.8370044052863
81.21,91.025641025641,31.2775330396476
81.215,91.4529914529915,31.7180616740088
81.22,91.8803418803419,32.15859030837
81.225,92.3076923076923,32.5991189427313
81.23,92.7350427350427,33.0396475770925
81.235,93.1623931623932,33.4801762114537
81.24,93.5897435897436,33.920704845815
81.245,94.017094017094,34.3612334801762
81.25,94.4444444444444,34.8017621145374
81.255,94.8717948717949,35.2422907488987
81.26,95.2991452991453,35.6828193832599
81.265,95.7264957264957,36.1233480176211
81.27,96.1538461538462,36.5638766519824
81.275,96.5811965811966,37.0044052863436
81.28,97.008547008547,37.4449339207048
81.285,97.4358974358974,37.8854625550661
81.29,97.8632478632479,38.3259911894273
81.295,98.2905982905983,38.7665198237885
81.3,98.7179487179487,39.2070484581498
81.305,99.1452991452991,39.647577092511
81.31,99.5726495726496,40.0881057268723
81.315,100,40.5286343612335
81.32,0,40.9691629955947
81.325,0.460829493087558,41.4096916299559
81.33,0.921658986175115,41.8502202643172
81.335,1.38248847926267,42.2907488986784
81.34,1.84331797235023,42.7312775330396
81.345,2.30414746543779,43.1718061674009
81.35,2.76497695852535,43.6123348017621
81.355,3.2258064516129,44.0528634361233
81.36,3.68663594470046,44.4933920704846
81.365,4.14746543778802,44.9339207048458
81.37,4.60829493087558,45.374449339207
81.375,5.06912442396313,45.8149779735683
81.38,5.52995391705069,46.2555066079295
81.385,5.99078341013825,46.6960352422907
81.39,6.45161290322581,47.136563876652
