Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z
0,3.25366778966259,-2.00517526843561,2.55558594267768,-0.126271932063999,-0.029853209855782,-0.0969918747502845,-4.5173827115276,4.46152611833017,-0.32352784360387,-0.156049618031778,0.0137504183948117,-0.0261380578038138,-2.51510448465979,-1.15404937895696,0.533200552895067,-0.156743412140625,-0.0229665608958162,0.0180032171263843,-0.579883035950729,7.43095807959536,3.94249568681239,-0.0496962650698236,0.00929713871537978,0.00210113337941498
0.005,3.24820209235759,-2.00221253696026,2.5531144675889,-0.126139198084995,-0.0303114840501115,-0.0974922008862928,-4.51223363019085,4.45515132147028,-0.323330193313751,-0.155651914779813,0.0139534955010646,-0.026175575042108,-2.51285155132655,-1.1526923956236,0.53255295289506,-0.15635396865224,-0.023054374631267,0.0180272902618373,-0.58049672072184,7.42022518740804,3.93688610658521,-0.0508858293141658,0.00916222981509403,0.00251179271967955
0.01,3.24273639505259,-1.99924980548491,2.55064299250023,-0.125244928088717,-0.0312507908108096,-0.0982909669481106,-4.50708454885421,4.44877652461039,-0.323132543023661,-0.154006738599156,0.0143067755511643,-0.0261285753746908,-2.51059861799308,-1.15133541229028,0.531905352895066,-0.154733847247794,-0.0231091302295589,0.017944712402903,-0.581110405492836,7.40949229522073,3.931276526358,-0.0530958888603327,0.00880653323885931,0.00335898653132135
0.015,3.23727069774753,-1.99628707400955,2.54817151741156,-0.122836357935433,-0.0320955160170647,-0.0983778423080191,-4.50193546751768,4.44240172775051,-0.322934892733542,-0.150376714922988,0.0145463264616116,-0.0257892867797416,-2.50834568465984,-1.14997842895696,0.531257752895073,-0.151129562750785,-0.0229156792937589,0.0176241615355161,-0.581724090263947,7.39875940303341,3.92566694613082,-0.0549490142842497,0.00825581772723584,0.00427227598533216
0.02,3.23180500044253,-1.9933243425342,2.54570004232289,-0.118384311028344,-0.0325694806654302,-0.0970590033921385,-4.49678638618104,4.43602693089061,-0.322737242443424,-0.144141321950005,0.0146848425529638,-0.0250552571238348,-2.50609275132649,-1.14862144562363,0.530610152895065,-0.144910601475743,-0.0223929332711243,0.0170615833361398,-0.58233777503483,7.38802651084609,3.92005736590362,-0.0564080085854214,0.00746510167497856,0.00528940524749479
0.025,3.22633930313754,-1.99036161105885,2.54322856723422,-0.111508066269707,-0.0324460897375114,-0.0938049752797585,-4.4916373048444,4.42965213403072,-0.322539592153333,-0.134864289204539,0.0147276616067245,-0.0238489565700399,-2.50383981799314,-1.14726446229028,0.529962552895057,-0.135632349272779,-0.0214777922309787,0.01625831080887,-0.58295145980594,7.37729361865878,3.91444778567644,-0.0574393047594684,0.00642304570323402,0.00643370612426034
0.03,3.22087360583242,-1.98739887958349,2.54075709214555,-0.102354290026426,-0.0316850080766679,-0.0886338991012782,-4.48648822350776,4.42327733717083,-0.322341941863215,-0.122758411377015,0.0146836105744382,-0.0221897918192943,-2.5015868846599,-1.14590747895693,0.529314952895078,-0.123504960246221,-0.0201841733189519,0.0152497966811066,-0.583565144576937,7.36656072647147,3.90883820544924,-0.0580172409320356,0.0051667794228731,0.00767836550547085
0.035,3.21540790852742,-1.98443614810814,2.53828561705677,-0.0915994098066165,-0.0304274168814427,-0.0820892333330594,-4.48133914217112,4.41690254031094,-0.322144291573125,-0.108689336646088,0.0145699767636399,-0.0201969880210826,-2.49933395132655,-1.14455049562363,0.52866735289507,-0.109396796345572,-0.0186069141682194,0.0141098591547822,-0.584178829348048,7.35582783428414,3.90322862522206,-0.0581204526856417,0.00376628468305984,0.00894316425150288
0.04,3.20994221122243,-1.98147341663279,2.53581414196822,-0.080076947854357,-0.0288602855466626,-0.0748411436021593,-4.47619006083448,4.41052774345106,-0.321946641283006,-0.0937170056563776,0.0144062975245042,-0.0180227904259225,-2.4970810179932,-1.14319351229028,0.528019752895062,-0.09437193980311,-0.0168687489104774,0.0129241954396309,-0.584792514118931,7.34509494209683,3.89761904499487,-0.057724942711649,0.00229028623399358,0.0101261968041076
0.045,3.20447651391737,-1.97851068515743,2.53334266687943,-0.0684893507132269,-0.0271195704583766,-0.067400661285695,-4.47104097949796,4.40415294659115,-0.321748990992916,-0.0787385552868983,0.0142083130300997,-0.0157997747485473,-2.49482808465984,-1.14183652895696,0.527372152895069,-0.0793305480689916,-0.0150777586076966,0.0117670143221772,-0.585406198890041,7.33436204990952,3.89200946476767,-0.0568075051597233,0.00078873000041503,0.0111331394637318
