Header,HeelStrike,ToeOff
0,0,0
0.005,0.060790273556231,0.0643086816720257
0.01,0.121580547112462,0.128617363344051
0.015,0.182370820668693,0.192926045016077
0.02,0.243161094224924,0.257234726688103
0.025,0.303951367781155,0.321543408360129
0.03,0.364741641337386,0.385852090032154
0.035,0.425531914893617,0.45016077170418
0.04,0.486322188449848,0.514469453376206
0.045,0.547112462006079,0.578778135048232
0.05,0.60790273556231,0.643086816720257
0.055,0.668693009118541,0.707395498392283
0.06,0.729483282674772,0.771704180064309
0.065,0.790273556231003,0.836012861736334
0.07,0.851063829787234,0.90032154340836
0.075,0.911854103343465,0.964630225080386
0.08,0.972644376899696,1.02893890675241
0.085,1.03343465045593,1.09324758842444
0.09,1.09422492401216,1.15755627009646
0.095,1.15501519756839,1.22186495176849
0.1,1.21580547112462,1.28617363344051
0.105,1.27659574468085,1.35048231511254
0.11,1.33738601823708,1.41479099678457
0.115,1.39817629179331,1.47909967845659
0.12,1.45896656534954,1.54340836012862
0.125,1.51975683890578,1.60771704180064
0.13,1.58054711246201,1.67202572347267
0.135,1.64133738601824,1.73633440514469
0.14,1.70212765957447,1.80064308681672
0.145,1.7629179331307,1.86495176848875
0.15,1.82370820668693,1.92926045016077
0.155,1.88449848024316,1.9935691318328
0.16,1.94528875379939,2.05787781350482
0.165,2.00607902735562,2.12218649517685
0.17,2.06686930091185,2.18649517684887
0.175,2.12765957446809,2.2508038585209
0.18,2.18844984802432,2.31511254019293
0.185,2.24924012158055,2.37942122186495
0.19,2.31003039513678,2.44372990353698
0.195,2.37082066869301,2.508038585209
0.2,2.43161094224924,2.57234726688103
0.205,2.49240121580547,2.63665594855305
0.21,2.5531914893617,2.70096463022508
0.215,2.61398176291793,2.76527331189711
0.22,2.67477203647416,2.82958199356913
0.225,2.73556231003039,2.89389067524116
0.23,2.79635258358663,2.95819935691318
0.235,2.85714285714286,3.02250803858521
0.24,2.91793313069909,3.08681672025723
0.245,2.97872340425532,3.15112540192926
