Header,HeelStrike,ToeOff
0,0,0
0.005,0.0500250125062531,0.0533333333333333
0.01,0.100050025012506,0.106666666666667
0.015,0.150075037518759,0.16
0.02,0.200100050025012,0.213333333333333
0.025,0.250125062531266,0.266666666666667
0.03,0.300150075037519,0.32
0.035,0.350175087543772,0.373333333333333
0.04,0.400200100050025,0.426666666666667
0.045,0.450225112556278,0.48
0.05,0.500250125062531,0.533333333333333
0.055,0.550275137568784,0.586666666666667
0.06,0.600300150075038,0.64
0.065,0.650325162581291,0.693333333333333
0.07,0.700350175087544,0.746666666666667
0.075,0.750375187593797,0.8
0.08,0.80040020010005,0.853333333333333
0.085,0.850425212606303,0.906666666666667
0.09,0.900450225112556,0.96
0.095,0.950475237618809,1.01333333333333
0.1,1.00050025012506,1.06666666666667
0.105,1.05052526263132,1.12
0.11,1.10055027513757,1.17333333333333
0.115,1.15057528764382,1.22666666666667
0.12,1.20060030015008,1.28
0.125,1.25062531265633,1.33333333333333
0.13,1.30065032516258,1.38666666666667
0.135,1.35067533766883,1.44
0.14,1.40070035017509,1.49333333333333
0.145,1.45072536268134,1.54666666666667
0.15,1.50075037518759,1.6
0.155,1.55077538769385,1.65333333333333
0.16,1.6008004002001,1.70666666666667
0.165,1.65082541270635,1.76
0.17,1.70085042521261,1.81333333333333
0.175,1.75087543771886,1.86666666666667
0.18,1.80090045022511,1.92
0.185,1.85092546273137,1.97333333333333
0.19,1.90095047523762,2.02666666666667
0.195,1.95097548774387,2.08
0.2,2.00100050025013,2.13333333333333
0.205,2.05102551275638,2.18666666666667
0.21,2.10105052526263,2.24
0.215,2.15107553776888,2.29333333333333
0.22,2.20110055027514,2.34666666666667
0.225,2.25112556278139,2.4
0.23,2.30115057528764,2.45333333333333
0.235,2.3511755877939,2.50666666666667
0.24,2.40120060030015,2.56
0.245,2.4512256128064,2.61333333333333
0.25,2.50125062531266,2.66666666666667
0.255,2.55127563781891,2.72
0.26,2.60130065032516,2.77333333333333
0.265,2.65132566283142,2.82666666666667
0.27,2.70135067533767,2.88
0.275,2.75137568784392,2.93333333333333
0.28,2.80140070035018,2.98666666666667
0.285,2.85142571285643,3.04
0.29,2.90145072536268,3.09333333333333
0.295,2.95147573786893,3.14666666666667
0.3,3.00150075037519,3.2
0.305,3.05152576288144,3.25333333333333
0.31,3.10155077538769,3.30666666666667
0.315,3.15157578789395,3.36
0.32,3.2016008004002,3.41333333333333
0.325,3.25162581290645,3.46666666666667
0.33,3.30165082541271,3.52
0.335,3.35167583791896,3.57333333333333
0.34,3.40170085042521,3.62666666666667
0.345,3.45172586293147,3.68
0.35,3.50175087543772,3.73333333333333
0.355,3.55177588794397,3.78666666666667
0.36,3.60180090045022,3.84
0.365,3.65182591295648,3.89333333333333
