Header,HeelStrike,ToeOff
0,0,0
0.005,0.0745156482861401,0.0796178343949045
0.01,0.14903129657228,0.159235668789809
0.015,0.22354694485842,0.238853503184713
0.02,0.29806259314456,0.318471337579618
0.025,0.3725782414307,0.398089171974522
0.03,0.447093889716841,0.477707006369427
0.035,0.521609538002981,0.557324840764331
0.04,0.596125186289121,0.636942675159236
0.045,0.670640834575261,0.71656050955414
0.05,0.745156482861401,0.796178343949045
0.055,0.819672131147541,0.875796178343949
0.06,0.894187779433681,0.955414012738854
0.065,0.968703427719821,1.03503184713376
0.07,1.04321907600596,1.11464968152866
0.075,1.1177347242921,1.19426751592357
0.08,1.19225037257824,1.27388535031847
0.085,1.26676602086438,1.35350318471338
0.09,1.34128166915052,1.43312101910828
0.095,1.41579731743666,1.51273885350318
0.1,1.4903129657228,1.59235668789809
0.105,1.56482861400894,1.67197452229299
0.11,1.63934426229508,1.7515923566879
0.115,1.71385991058122,1.8312101910828
0.12,1.78837555886736,1.91082802547771
0.125,1.8628912071535,1.99044585987261
0.13,1.93740685543964,2.07006369426752
0.135,2.01192250372578,2.14968152866242
0.14,2.08643815201192,2.22929936305732
0.145,2.16095380029806,2.30891719745223
0.15,2.2354694485842,2.38853503184713
0.155,2.30998509687034,2.46815286624204
0.16,2.38450074515648,2.54777070063694
0.165,2.45901639344262,2.62738853503185
0.17,2.53353204172876,2.70700636942675
0.175,2.6080476900149,2.78662420382166
0.18,2.68256333830104,2.86624203821656
0.185,2.75707898658718,2.94585987261146
0.19,2.83159463487332,3.02547770700637
0.195,2.90611028315946,3.10509554140127
0.2,2.9806259314456,3.18471337579618
0.205,3.05514157973174,3.26433121019108
0.21,3.12965722801788,3.34394904458599
0.215,3.20417287630402,3.42356687898089
0.22,3.27868852459016,3.5031847133758
0.225,3.3532041728763,3.5828025477707
0.23,3.42771982116244,3.6624203821656
0.235,3.50223546944858,3.74203821656051
0.24,3.57675111773472,3.82165605095541
0.245,3.65126676602086,3.90127388535032
0.25,3.725782414307,3.98089171974522
0.255,3.80029806259314,4.06050955414013
0.26,3.87481371087928,4.14012738853503
0.265,3.94932935916542,4.21974522292994
0.27,4.02384500745157,4.29936305732484
0.275,4.0983606557377,4.37898089171975
0.28,4.17287630402384,4.45859872611465
0.285,4.24739195230999,4.53821656050955
0.29,4.32190760059613,4.61783439490446
0.295,4.39642324888227,4.69745222929936
0.3,4.47093889716841,4.77707006369427
0.305,4.54545454545455,4.85668789808917
0.31,4.61997019374069,4.93630573248408
0.315,4.69448584202683,5.01592356687898
0.32,4.76900149031297,5.09554140127389
0.325,4.84351713859911,5.17515923566879
0.33,4.91803278688525,5.25477707006369
0.335,4.99254843517139,5.3343949044586
0.34,5.06706408345753,5.4140127388535
0.345,5.14157973174367,5.49363057324841
0.35,5.21609538002981,5.57324840764331
0.355,5.29061102831595,5.65286624203822
0.36,5.36512667660209,5.73248407643312
0.365,5.43964232488823,5.81210191082803
0.37,5.51415797317437,5.89171974522293
0.375,5.58867362146051,5.97133757961783
0.38,5.66318926974665,6.05095541401274
0.385,5.73770491803279,6.13057324840764
0.39,5.81222056631893,6.21019108280255
0.395,5.88673621460507,6.28980891719745
0.4,5.96125186289121,6.36942675159236
0.405,6.03576751117735,6.44904458598726
0.41,6.11028315946349,6.52866242038217
0.415,6.18479880774963,6.60828025477707
0.42,6.25931445603577,6.68789808917197
0.425,6.33383010432191,6.76751592356688
0.43,6.40834575260805,6.84713375796178
0.435,6.48286140089419,6.92675159235669
0.44,6.55737704918033,7.00636942675159
0.445,6.63189269746647,7.0859872611465
0.45,6.70640834575261,7.1656050955414
0.455,6.78092399403875,7.24522292993631
0.46,6.85543964232489,7.32484076433121
0.465,6.92995529061103,7.40445859872611
0.47,7.00447093889717,7.48407643312102
0.475,7.07898658718331,7.56369426751592
0.48,7.15350223546945,7.64331210191083
0.485,7.22801788375559,7.72292993630573
0.49,7.30253353204173,7.80254777070064
0.495,7.37704918032787,7.88216560509554
0.5,7.45156482861401,7.96178343949045
0.505,7.52608047690015,8.04140127388535
0.51,7.60059612518629,8.12101910828025
0.515,7.67511177347243,8.20063694267516
