Header,HeelStrike,ToeOff
0,0,0
0.005,0.0700280112044818,0.0744047619047619
0.01,0.140056022408964,0.148809523809524
0.015,0.210084033613445,0.223214285714286
0.02,0.280112044817927,0.297619047619048
0.025,0.350140056022409,0.37202380952381
0.03,0.420168067226891,0.446428571428571
0.035,0.490196078431373,0.520833333333333
0.04,0.560224089635854,0.595238095238095
0.045,0.630252100840336,0.669642857142857
0.05,0.700280112044818,0.744047619047619
0.055,0.7703081232493,0.818452380952381
0.06,0.840336134453782,0.892857142857143
0.065,0.910364145658263,0.967261904761905
0.07,0.980392156862745,1.04166666666667
0.075,1.05042016806723,1.11607142857143
0.08,1.12044817927171,1.19047619047619
0.085,1.19047619047619,1.26488095238095
0.09,1.26050420168067,1.33928571428571
0.095,1.33053221288515,1.41369047619048
0.1,1.40056022408964,1.48809523809524
0.105,1.47058823529412,1.5625
0.11,1.5406162464986,1.63690476190476
0.115,1.61064425770308,1.71130952380952
0.12,1.68067226890756,1.78571428571429
0.125,1.75070028011204,1.86011904761905
0.13,1.82072829131653,1.93452380952381
0.135,1.89075630252101,2.00892857142857
0.14,1.96078431372549,2.08333333333333
0.145,2.03081232492997,2.1577380952381
0.15,2.10084033613445,2.23214285714286
0.155,2.17086834733894,2.30654761904762
0.16,2.24089635854342,2.38095238095238
0.165,2.3109243697479,2.45535714285714
0.17,2.38095238095238,2.5297619047619
0.175,2.45098039215686,2.60416666666667
0.18,2.52100840336134,2.67857142857143
0.185,2.59103641456583,2.75297619047619
0.19,2.66106442577031,2.82738095238095
0.195,2.73109243697479,2.90178571428571
0.2,2.80112044817927,2.97619047619048
0.205,2.87114845938375,3.05059523809524
0.21,2.94117647058824,3.125
0.215,3.01120448179272,3.19940476190476
0.22,3.0812324929972,3.27380952380952
0.225,3.15126050420168,3.34821428571429
0.23,3.22128851540616,3.42261904761905
0.235,3.29131652661064,3.49702380952381
0.24,3.36134453781513,3.57142857142857
0.245,3.43137254901961,3.64583333333333
0.25,3.50140056022409,3.7202380952381
0.255,3.57142857142857,3.79464285714286
0.26,3.64145658263305,3.86904761904762
0.265,3.71148459383754,3.94345238095238
0.27,3.78151260504202,4.01785714285714
0.275,3.8515406162465,4.09226190476191
0.28,3.92156862745098,4.16666666666667
0.285,3.99159663865546,4.24107142857143
0.29,4.06162464985994,4.31547619047619
0.295,4.13165266106443,4.38988095238095
0.3,4.20168067226891,4.46428571428571
0.305,4.27170868347339,4.53869047619048
0.31,4.34173669467787,4.61309523809524
0.315,4.41176470588235,4.6875
0.32,4.48179271708683,4.76190476190476
0.325,4.55182072829132,4.83630952380952
0.33,4.6218487394958,4.91071428571429
0.335,4.69187675070028,4.98511904761905
0.34,4.76190476190476,5.05952380952381
0.345,4.83193277310924,5.13392857142857
0.35,4.90196078431373,5.20833333333333
0.355,4.97198879551821,5.28273809523809
0.36,5.04201680672269,5.35714285714286
0.365,5.11204481792717,5.43154761904762
0.37,5.18207282913165,5.50595238095238
0.375,5.25210084033613,5.58035714285714
0.38,5.32212885154062,5.65476190476191
0.385,5.3921568627451,5.72916666666667
0.39,5.46218487394958,5.80357142857143
0.395,5.53221288515406,5.87797619047619
0.4,5.60224089635854,5.95238095238095
0.405,5.67226890756303,6.02678571428571
0.41,5.74229691876751,6.10119047619048
0.415,5.81232492997199,6.17559523809524
0.42,5.88235294117647,6.25
0.425,5.95238095238095,6.32440476190476
0.43,6.02240896358543,6.39880952380952
0.435,6.09243697478992,6.47321428571429
0.44,6.1624649859944,6.54761904761905
0.445,6.23249299719888,6.62202380952381
0.45,6.30252100840336,6.69642857142857
0.455,6.37254901960784,6.77083333333333
0.46,6.44257703081233,6.84523809523809
0.465,6.51260504201681,6.91964285714286
0.47,6.58263305322129,6.99404761904762
0.475,6.65266106442577,7.06845238095238
0.48,6.72268907563025,7.14285714285714
0.485,6.79271708683473,7.21726190476191
0.49,6.86274509803922,7.29166666666667
