Header,HeelStrike,ToeOff
120.32,59.6,96.2046204620462
120.325,60,96.3696369636964
120.33,60.4,96.5346534653465
120.335,60.8,96.6996699669967
120.34,61.2,96.8646864686469
120.345,61.6,97.029702970297
120.35,62,97.1947194719472
120.355,62.4,97.3597359735974
120.36,62.8,97.5247524752475
120.365,63.2,97.6897689768977
120.37,63.6,97.8547854785479
120.375,64,98.019801980198
120.38,64.4,98.1848184818482
120.385,64.8,98.3498349834984
120.39,65.2,98.5148514851485
120.395,65.6,98.6798679867987
120.4,66,98.8448844884488
120.405,66.4,99.009900990099
120.41,66.8,99.1749174917492
120.415,67.2,99.3399339933993
120.42,67.6,99.5049504950495
120.425,68,99.6699669966997
120.43,68.4,99.8349834983498
120.435,68.8,100
120.44,69.2,0
120.445,69.6,0.454545454545455
120.45,70,0.909090909090909
120.455,70.4,1.36363636363636
120.46,70.8,1.81818181818182
120.465,71.2,2.27272727272727
120.47,71.6,2.72727272727273
120.475,72,3.18181818181818
120.48,72.4,3.63636363636364
120.485,72.8,4.09090909090909
120.49,73.2,4.54545454545455
120.495,73.6,5
120.5,74,5.45454545454545
120.505,74.4,5.90909090909091
120.51,74.8,6.36363636363636
120.515,75.2,6.81818181818182
120.52,75.6,7.27272727272727
120.525,76,7.72727272727273
120.53,76.4,8.18181818181818
120.535,76.8,8.63636363636364
120.54,77.2,9.09090909090909
120.545,77.6,9.54545454545454
120.55,78,10
120.555,78.4,10.4545454545455
120.56,78.8,10.9090909090909
120.565,79.2,11.3636363636364
120.57,79.6,11.8181818181818
120.575,80,12.2727272727273
120.58,80.4,12.7272727272727
120.585,80.8,13.1818181818182
120.59,81.2,13.6363636363636
120.595,81.6,14.0909090909091
120.6,82,14.5454545454545
120.605,82.4,15
120.61,82.8,15.4545454545455
120.615,83.2,15.9090909090909
120.62,83.6,16.3636363636364
120.625,84,16.8181818181818
120.63,84.4,17.2727272727273
120.635,84.8,17.7272727272727
120.64,85.2,18.1818181818182
120.645,85.6,18.6363636363636
120.65,86,19.0909090909091
120.655,86.4,19.5454545454545
120.66,86.8,20
120.665,87.2,20.4545454545455
120.67,87.6,20.9090909090909
120.675,88,21.3636363636364
120.68,88.4,21.8181818181818
120.685,88.8,22.2727272727273
120.69,89.2,22.7272727272727
120.695,89.6,23.1818181818182
120.7,90,23.6363636363636
120.705,90.4,24.0909090909091
120.71,90.8,24.5454545454545
120.715,91.2,25
120.72,91.6,25.4545454545455
120.725,92,25.9090909090909
120.73,92.4,26.3636363636364
120.735,92.8,26.8181818181818
120.74,93.2,27.2727272727273
120.745,93.6,27.7272727272727
120.75,94,28.1818181818182
120.755,94.4,28.6363636363636
120.76,94.8,29.0909090909091
120.765,95.2,29.5454545454545
120.77,95.6,30
120.775,96,30.4545454545455
120.78,96.4,30.9090909090909
120.785,96.8,31.3636363636364
120.79,97.2,31.8181818181818
120.795,97.6,32.2727272727273
120.8,98,32.7272727272727
120.805,98.4,33.1818181818182
120.81,98.8,33.6363636363636
120.815,99.2,34.0909090909091
120.82,99.6,34.5454545454545
120.825,100,35
120.83,0,35.4545454545455
120.835,0.43859649122807,35.9090909090909
120.84,0.87719298245614,36.3636363636364
120.845,1.31578947368421,36.8181818181818
120.85,1.75438596491228,37.2727272727273
120.855,2.19298245614035,37.7272727272727
120.86,2.63157894736842,38.1818181818182
120.865,3.07017543859649,38.6363636363636
120.87,3.50877192982456,39.0909090909091
120.875,3.94736842105263,39.5454545454545
120.88,4.3859649122807,40
120.885,4.82456140350877,40.4545454545455
120.89,5.26315789473684,40.9090909090909
120.895,5.70175438596491,41.3636363636364
120.9,6.14035087719298,41.8181818181818
120.905,6.57894736842105,42.2727272727273
120.91,7.01754385964912,42.7272727272727
120.915,7.45614035087719,43.1818181818182
120.92,7.89473684210526,43.6363636363636
120.925,8.33333333333333,44.0909090909091
120.93,8.7719298245614,44.5454545454545
120.935,9.21052631578947,45
120.94,9.64912280701754,45.4545454545455
120.945,10.0877192982456,45.9090909090909
120.95,10.5263157894737,46.3636363636364
120.955,10.9649122807018,46.8181818181818
120.96,11.4035087719298,47.2727272727273
120.965,11.8421052631579,47.7272727272727
120.97,12.280701754386,48.1818181818182
120.975,12.719298245614,48.6363636363636
120.98,13.1578947368421,49.0909090909091
120.985,13.5964912280702,49.5454545454545
120.99,14.0350877192982,50
120.995,14.4736842105263,50.4545454545455
121,14.9122807017544,50.9090909090909
121.005,15.3508771929825,51.3636363636364
121.01,15.7894736842105,51.8181818181818
121.015,16.2280701754386,52.2727272727273
121.02,16.6666666666667,52.7272727272727
121.025,17.1052631578947,53.1818181818182
121.03,17.5438596491228,53.6363636363636
121.035,17.9824561403509,54.0909090909091
121.04,18.4210526315789,54.5454545454545
121.045,18.859649122807,55
121.05,19.2982456140351,55.4545454545455
121.055,19.7368421052632,55.9090909090909
121.06,20.1754385964912,56.3636363636364
121.065,20.6140350877193,56.8181818181818
121.07,21.0526315789474,57.2727272727273
121.075,21.4912280701754,57.7272727272727
121.08,21.9298245614035,58.1818181818182
121.085,22.3684210526316,58.6363636363636
121.09,22.8070175438597,59.0909090909091
121.095,23.2456140350877,59.5454545454545
121.1,23.6842105263158,60
121.105,24.1228070175439,60.4545454545455
121.11,24.5614035087719,60.9090909090909
121.115,25,61.3636363636364
121.12,25.4385964912281,61.8181818181818
121.125,25.8771929824561,62.2727272727273
121.13,26.3157894736842,62.7272727272727
121.135,26.7543859649123,63.1818181818182
121.14,27.1929824561403,63.6363636363636
121.145,27.6315789473684,64.0909090909091
121.15,28.0701754385965,64.5454545454545
121.155,28.5087719298246,65
121.16,28.9473684210526,65.4545454545455
121.165,29.3859649122807,65.9090909090909
121.17,29.8245614035088,66.3636363636364
121.175,30.2631578947368,66.8181818181818
121.18,30.7017543859649,67.2727272727273
121.185,31.140350877193,67.7272727272727
121.19,31.5789473684211,68.1818181818182
121.195,32.0175438596491,68.6363636363636
121.2,32.4561403508772,69.0909090909091
121.205,32.8947368421053,69.5454545454545
121.21,33.3333333333333,70
121.215,33.7719298245614,70.4545454545455
121.22,34.2105263157895,70.9090909090909
121.225,34.6491228070175,71.3636363636364
121.23,35.0877192982456,71.8181818181818
121.235,35.5263157894737,72.2727272727273
121.24,35.9649122807018,72.7272727272727
121.245,36.4035087719298,73.1818181818182
121.25,36.8421052631579,73.6363636363636
121.255,37.280701754386,74.0909090909091
121.26,37.719298245614,74.5454545454545
121.265,38.1578947368421,75
121.27,38.5964912280702,75.4545454545455
121.275,39.0350877192982,75.9090909090909
121.28,39.4736842105263,76.3636363636364
121.285,39.9122807017544,76.8181818181818
121.29,40.3508771929825,77.2727272727273
121.295,40.7894736842105,77.7272727272727
121.3,41.2280701754386,78.1818181818182
121.305,41.6666666666667,78.6363636363636
121.31,42.1052631578947,79.0909090909091
121.315,42.5438596491228,79.5454545454545
121.32,42.9824561403509,80
