Header,HeelStrike,ToeOff
0,0,0
0.005,0.0403225806451613,0.0419815281276238
0.01,0.0806451612903226,0.0839630562552477
0.015,0.120967741935484,0.125944584382872
0.02,0.161290322580645,0.167926112510495
0.025,0.201612903225806,0.209907640638119
0.03,0.241935483870968,0.251889168765743
0.035,0.282258064516129,0.293870696893367
0.04,0.32258064516129,0.335852225020991
0.045,0.362903225806452,0.377833753148615
0.05,0.403225806451613,0.419815281276238
0.055,0.443548387096774,0.461796809403862
0.06,0.483870967741935,0.503778337531486
0.065,0.524193548387097,0.54575986565911
0.07,0.564516129032258,0.587741393786734
0.075,0.604838709677419,0.629722921914358
0.08,0.645161290322581,0.671704450041982
0.085,0.685483870967742,0.713685978169605
0.09,0.725806451612903,0.755667506297229
0.095,0.766129032258065,0.797649034424853
0.1,0.806451612903226,0.839630562552477
0.105,0.846774193548387,0.881612090680101
0.11,0.887096774193548,0.923593618807725
0.115,0.92741935483871,0.965575146935348
0.12,0.967741935483871,1.00755667506297
0.125,1.00806451612903,1.0495382031906
0.13,1.04838709677419,1.09151973131822
0.135,1.08870967741935,1.13350125944584
0.14,1.12903225806452,1.17548278757347
0.145,1.16935483870968,1.21746431570109
0.15,1.20967741935484,1.25944584382872
0.155,1.25,1.30142737195634
0.16,1.29032258064516,1.34340890008396
0.165,1.33064516129032,1.38539042821159
0.17,1.37096774193548,1.42737195633921
0.175,1.41129032258065,1.46935348446683
0.18,1.45161290322581,1.51133501259446
0.185,1.49193548387097,1.55331654072208
0.19,1.53225806451613,1.59529806884971
0.195,1.57258064516129,1.63727959697733
0.2,1.61290322580645,1.67926112510495
0.205,1.65322580645161,1.72124265323258
0.21,1.69354838709677,1.7632241813602
0.215,1.73387096774194,1.80520570948783
0.22,1.7741935483871,1.84718723761545
0.225,1.81451612903226,1.88916876574307
0.23,1.85483870967742,1.9311502938707
0.235,1.89516129032258,1.97313182199832
0.24,1.93548387096774,2.01511335012594
0.245,1.9758064516129,2.05709487825357
0.25,2.01612903225806,2.09907640638119
0.255,2.05645161290323,2.14105793450882
0.26,2.09677419354839,2.18303946263644
0.265,2.13709677419355,2.22502099076406
0.27,2.17741935483871,2.26700251889169
0.275,2.21774193548387,2.30898404701931
0.28,2.25806451612903,2.35096557514694
0.285,2.29838709677419,2.39294710327456
0.29,2.33870967741935,2.43492863140218
0.295,2.37903225806452,2.47691015952981
0.3,2.41935483870968,2.51889168765743
0.305,2.45967741935484,2.56087321578505
0.31,2.5,2.60285474391268
0.315,2.54032258064516,2.6448362720403
0.32,2.58064516129032,2.68681780016793
0.325,2.62096774193548,2.72879932829555
0.33,2.66129032258065,2.77078085642317
0.335,2.70161290322581,2.8127623845508
0.34,2.74193548387097,2.85474391267842
0.345,2.78225806451613,2.89672544080605
0.35,2.82258064516129,2.93870696893367
0.355,2.86290322580645,2.98068849706129
0.36,2.90322580645161,3.02267002518892
0.365,2.94354838709677,3.06465155331654
0.37,2.98387096774194,3.10663308144416
0.375,3.0241935483871,3.14861460957179
0.38,3.06451612903226,3.19059613769941
0.385,3.10483870967742,3.23257766582704
0.39,3.14516129032258,3.27455919395466
0.395,3.18548387096774,3.31654072208228
0.4,3.2258064516129,3.35852225020991
0.405,3.26612903225806,3.40050377833753
0.41,3.30645161290323,3.44248530646516
0.415,3.34677419354839,3.48446683459278
0.42,3.38709677419355,3.5264483627204
0.425,3.42741935483871,3.56842989084803
0.43,3.46774193548387,3.61041141897565
0.435,3.50806451612903,3.65239294710327
0.44,3.54838709677419,3.6943744752309
0.445,3.58870967741935,3.73635600335852
0.45,3.62903225806452,3.77833753148615
0.455,3.66935483870968,3.82031905961377
0.46,3.70967741935484,3.86230058774139
0.465,3.75,3.90428211586902
0.47,3.79032258064516,3.94626364399664
0.475,3.83064516129032,3.98824517212427
0.48,3.87096774193548,4.03022670025189
0.485,3.91129032258065,4.07220822837951
0.49,3.95161290322581,4.11418975650714
0.495,3.99193548387097,4.15617128463476
0.5,4.03225806451613,4.19815281276238
0.505,4.07258064516129,4.24013434089001
0.51,4.11290322580645,4.28211586901763
0.515,4.15322580645161,4.32409739714526
0.52,4.19354838709677,4.36607892527288
0.525,4.23387096774194,4.4080604534005
0.53,4.2741935483871,4.45004198152813
0.535,4.31451612903226,4.49202350965575
0.54,4.35483870967742,4.53400503778338
0.545,4.39516129032258,4.575986565911
0.55,4.43548387096774,4.61796809403862
0.555,4.4758064516129,4.65994962216625
0.56,4.51612903225806,4.70193115029387
0.565,4.55645161290323,4.74391267842149
0.57,4.59677419354839,4.78589420654912
0.575,4.63709677419355,4.82787573467674
0.58,4.67741935483871,4.86985726280437
0.585,4.71774193548387,4.91183879093199
0.59,4.75806451612903,4.95382031905961
0.595,4.79838709677419,4.99580184718724
0.6,4.83870967741935,5.03778337531486
0.605,4.87903225806452,5.07976490344249
0.61,4.91935483870968,5.12174643157011
0.615,4.95967741935484,5.16372795969773
0.62,5,5.20570948782536
0.625,5.04032258064516,5.24769101595298
0.63,5.08064516129032,5.2896725440806
0.635,5.12096774193548,5.33165407220823
0.64,5.16129032258065,5.37363560033585
0.645,5.20161290322581,5.41561712846348
0.65,5.24193548387097,5.4575986565911
0.655,5.28225806451613,5.49958018471872
0.66,5.32258064516129,5.54156171284635
0.665,5.36290322580645,5.58354324097397
0.67,5.40322580645161,5.6255247691016
0.675,5.44354838709677,5.66750629722922
0.68,5.48387096774194,5.70948782535684
0.685,5.5241935483871,5.75146935348447
0.69,5.56451612903226,5.79345088161209
0.695,5.60483870967742,5.83543240973971
0.7,5.64516129032258,5.87741393786734
0.705,5.68548387096774,5.91939546599496
0.71,5.7258064516129,5.96137699412259
0.715,5.76612903225806,6.00335852225021
0.72,5.80645161290323,6.04534005037783
0.725,5.84677419354839,6.08732157850546
0.73,5.88709677419355,6.12930310663308
0.735,5.92741935483871,6.17128463476071
0.74,5.96774193548387,6.21326616288833
0.745,6.00806451612903,6.25524769101595
0.75,6.04838709677419,6.29722921914358
0.755,6.08870967741935,6.3392107472712
0.76,6.12903225806452,6.38119227539882
0.765,6.16935483870968,6.42317380352645
0.77,6.20967741935484,6.46515533165407
0.775,6.25,6.5071368597817
0.78,6.29032258064516,6.54911838790932
0.785,6.33064516129032,6.59109991603694
0.79,6.37096774193548,6.63308144416457
0.795,6.41129032258065,6.67506297229219
0.8,6.45161290322581,6.71704450041982
