Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
0,-1.74160428791363,0.641495605133286,-0.812702496284376,-0.827976094819006,2.27741402383349
0.001,-1.7052051025497,0.654423601728456,-0.752376955254655,-0.894603095832485,2.229484038327
0.002,-1.66964014441538,0.666644819058722,-0.692660903796,-0.960601850494596,2.1821375847894
0.003,-1.63522711300395,0.677970943665013,-0.633946670424914,-1.02553639518787,2.13571268934788
0.004,-1.60227131343952,0.688223343884471,-0.576614485182522,-1.08898668474377,2.09053424342074
0.005,-1.57105910344305,0.697237756711127,-0.521025953840154,-1.15055632902068,2.04690759396699
0.006,-1.54185195844531,0.704868304108964,-0.467518098014275,-1.20987930500991,2.00511304176724
0.007,-1.51488130751571,0.710990820606085,-0.41639808379125,-1.2666255658991,1.96540134142226
0.008,-1.49034425570643,0.715505461036768,-0.367938739681877,-1.32050550070235,1.92799024064748
0.009,-1.46840027345935,0.71833855328859,-0.322374943307609,-1.37127323445673,1.89306204052072
0.01,-1.44916889842007,0.719443675382799,-0.279900931293383,-1.41872879372899,1.86076210893158
0.011,-1.43272845947822,0.718801963415175,-0.240668556682795,-1.46271919323939,1.83119824700963
0.012,-1.41911579654358,0.716421688838993,-0.204786483912018,-1.5031385241212,1.80444079705422
0.013,-1.40832691149997,0.712337176237659,-0.1723202758309,-1.53992713891405,1.78052338666331
0.014,-1.40031845008343,0.706607161590313,-0.143293295491397,-1.57307003447358,1.75944421938896
0.015,-1.39500988805445,0.699312711649112,-0.117688323686956,-1.60259453945757,1.74116783842313
0.016,-1.39228628097699,0.690554837047348,-0.0954497844277399,-1.62856742207667,1.72562730103191
0.017,-1.39200143683796,0.680451936126786,-0.0764864724869287,-1.65109154169254,1.71272670802748
0.018,-1.39398138872284,0.669137201679656,-0.060674685655708,-1.67030216898442,1.70234403650225
0.019,-1.39802807891708,0.65675610715373,-0.0478616758210132,-1.68636309315725,1.69433422505081
0.02,-1.40392320100256,0.64346406384904,-0.0378693454650703,-1.69946262035855,1.68853245858113
0.021,-1.41143216505544,0.629424309517279,-0.0304981294263258,-1.70980954192878,1.68475759786756
0.022,-1.42030814887047,0.614806053540946,-0.0255310143921793,-1.71762911704857,1.68281570146415
0.023,-1.4302961859023,0.599782867170222,-0.0227376557356402,-1.7231590836514,1.68250359377078
0.024,-1.44113723090062,0.58453127759973,-0.0218785484383927,-1.72664569451693,1.68361243728661
0.025,-1.45257214173554,0.56922951304461,-0.0227091969401567,-1.72833977420712,1.68593126585923
0.026,-1.46434551900773,0.55405635357579,-0.0249842125523559,-1.72849280549759,1.68925043098289
0.027,-1.47620935066464,0.539190055596908,-0.0284612508625095,-1.72735307870543,1.69336490752204
0.028,-1.48792641372091,0.524807320473933,-0.0329046895731789,-1.7251619673937,1.69807739856905
0.029,-1.49927338663595,0.511082267045682,-0.0380889445168953,-1.72215042071989,1.70320117272952
0.03,-1.51004362482787,0.498185353721934,-0.0438013316948069,-1.71853577948242,1.70856256633257
0.031,-1.52004955243399,0.486282190112772,-0.049844406077984,-1.71451902475752,1.71400309291519
0.032,-1.52912462882274,0.475532185652366,-0.056037739398446,-1.71028255081389,1.71938112231378
0.033,-1.53712485860294,0.4660870032834,-0.0622191315481794,-1.70598851828397,1.72457311582203
0.034,-1.54392982816833,0.458088817768428,-0.0682452764416055,-1.70177779993852,1.7294744248177
0.035,-1.54944326863521,0.451668415516739,-0.0739919221160599,-1.69776949575582,1.73399967511359
0.036,-1.55359316098489,0.44694320665777,-0.0793535810180226,-1.69406097267111,1.73808277141843
0.037,-1.55633141110248,0.444015241691623,-0.084242863006774,-1.69072836988098,1.74167656872807
0.038,-1.55763313078826,0.442969332300852,-0.088589516534483,-1.68782749516468,1.74475226735274
0.039,-1.55749557048723,0.443871371461002,-0.0923392662911535,-1.68539502356445,1.74729859094408
0.04,-1.55593676374985,0.446766932944653,-0.0954525288130731,-1.68344990311761,1.74932080109415
0.041,-1.5529939575522,0.45168020492961,-0.0979030770914288,-1.68199487564228,1.75083958944196
0.042,-1.5487219072164,0.458613281863217,-0.0996767130161702,-1.68101803245766,1.75188987070608
0.043,-1.54319110590139,0.467545812198534,-0.100769989770928,-1.68049434243745,1.75251947994552
0.044,-1.53648599954293,0.478434982860418,-0.101189006291053,-1.68038711148695,1.75278775983725
0.045,-1.52870321287487,0.49121581397172,-0.100948279801327,-1.68064935900599,1.75276401659931
0.046,-1.51994978456867,0.505801737789481,-0.100069694508142,-1.68122512433356,1.75252582960816
0.047,-1.51034138467271,0.52208544394745,-0.0985815210418694,-1.68205073324906,1.7521572151544
0.048,-1.50000047159664,0.539939986440802,-0.0965174968658804,-1.68305605374389,1.75174666282289
0.049,-1.4890543450268,0.559220157991278,-0.0939159515721418,-1.68416575837689,1.75138507990465
0.05,-1.47763306809679,0.579764137347391,-0.0908189543036257,-1.68530060187861,1.75116369145851
0.051,-1.4658672616407,0.601395407407808,-0.0872714554988454,-1.68637872435227,1.75117194744726
0.052,-1.45388580476246,0.62392493486447,-0.0833203957195492,-1.68731699798499,1.75149548442333
0.053,-1.44181350118501,0.647153598285922,-0.0790137644645156,-1.68803243880668,1.75221418332672
0.054,-1.42976878583331,0.670874848377533,-0.0743996102232624,-1.6884436979379,1.75340036195268
0.055,-1.41786154783361,0.694877578102649,-0.0695250238123836,-1.68847262946423,1.75511714007985
0.056,-1.40619113620654,0.718949168787905,-0.0644351363197807,-1.6880459088457,1.75741701402859
0.057,-1.39484460096735,0.742878660616638,-0.0591721878791524,-1.68709664994364,1.76034067296184
