X,Y,Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
45.134373,1.7209411,11.038505
45.492813,1.8650225,8.757036
46.056904,1.7384937,6.8813725
47.049545,1.8514282,6.444947
46.805298,1.8536714,3.817014
47.06827,1.3201952,2.9690855
47.065796,1.055495,2.5305128
47.090042,1.0308235,2.6133037
47.201347,1.0324622,3.2087984
46.327488,0.6370195,1.3152727
46.634525,1.1966614,2.8561628
46.0381,1.4536769,2.089227
45.614017,1.6060717,1.5787822
45.34422,1.8584387,1.6447744
45.073788,2.203954,1.8280352
45.202503,2.5915608,0.026809203
46.348633,3.0666678,-5.1330476
47.201992,3.9631276,-5.7506638
46.416862,5.1785626,3.4990096
44.700085,5.8255935,14.94267
43.16325,6.2126856,23.839046
42.319347,6.9064903,25.282928
41.945168,7.72192,21.044111
41.49903,8.352944,17.385445
40.99175,8.808319,14.379687
40.39804,8.998474,12.024215
39.6706,9.07622,10.881146
38.673405,9.268397,11.137713
37.430294,9.471113,12.493802
36.200085,9.44698,14.507617
34.860863,9.307237,16.263918
33.42593,9.167748,17.153244
32.243114,8.968861,17.47927
31.20068,8.759035,17.198723
30.201738,8.556902,15.990002
29.328238,8.316162,14.587358
28.425123,8.0423765,13.744387
27.487503,7.7888155,12.75172
26.61026,7.6299486,10.856978
25.81177,7.490999,9.087334
25.083033,7.293048,8.12293
24.294714,6.930978,7.8475046
23.822077,6.6213484,8.076618
23.406916,6.488811,8.295659
22.644781,6.5089316,8.12257
21.701477,6.4452224,7.7770066
20.840816,6.3145123,7.6409
20.092628,6.217246,7.99534
19.486185,6.178398,8.372851
18.820599,6.2109103,8.473751
17.994562,6.2353287,8.723026
17.153463,6.2743793,9.106088
16.313683,6.3966246,9.6145935
15.475952,6.5556045,10.230778
14.620172,6.7042966,10.817061
13.594788,6.8304353,11.8954935
12.525434,6.9463215,13.319301
11.585573,7.0286417,14.416091
10.639957,7.0032296,15.167535
9.624051,6.8622847,15.766166
8.65149,6.609635,16.207102
7.76653,6.2893353,16.566208
6.9796796,6.025145,17.099499
6.2764263,5.780882,17.497505
5.6842847,5.483158,17.597063
5.150265,5.144149,17.72383
4.566424,4.8243523,17.68632
4.1242585,4.592922,17.102768
3.9452329,4.396683,16.1758
3.8216941,4.2268147,15.361455
3.58312,4.0745173,14.65667
3.7465398,3.745158,13.253195
3.976672,3.2399101,12.730461
4.5229244,2.6340296,12.301383
5.314659,1.925819,12.05247
6.139374,1.1310619,12.879509
7.121065,0.37849608,14.298258
8.350651,-0.27786323,15.914402
9.665705,-0.92655516,17.743917
10.928266,-1.510581,19.406364
12.290069,-2.0162306,20.641947
13.9744,-2.3906379,21.175602
15.780325,-2.631029,20.856062
17.395634,-2.9123733,20.037567
19.02451,-3.0985498,19.085186
20.815474,-3.0873928,17.98916
22.608429,-2.9194074,16.665094
24.34249,-2.5499415,15.327154
26.06733,-2.0647502,14.346859
27.686735,-1.5668123,13.8193
29.281427,-0.98070604,13.549516
31.14906,-0.35659066,13.3671
32.856995,0.12936874,13.707495
34.13349,0.52875817,14.487222
35.25625,0.9432918,15.047273
36.279778,1.3772266,15.481957
37.33555,1.8195715,16.174013
38.111492,2.2946005,16.981464
39.0497,2.7657125,17.828012
39.932705,3.1520052,19.654009
40.334282,3.5104046,21.772224
40.893345,3.8901653,23.163054
41.48614,4.03365,24.52733
41.881695,3.8467176,25.642658
42.361153,3.6281142,26.45936
42.789646,3.4391472,27.41981
43.157948,3.1731758,28.361845
43.45164,2.858125,29.02371
43.6149,2.4650664,29.038939
43.717453,2.023919,28.262539
43.90973,1.6478877,26.983662
44.21068,1.3363298,25.212362
44.590992,1.0322195,22.921824
45.079227,0.68824327,20.095146
45.50679,0.32954696,16.6598
45.760212,0.018313881,12.953008
45.876606,-0.25200507,9.595111
45.834503,-0.47703296,6.7408395
45.681713,-0.63600034,4.0812917
45.393383,-0.7093316,2.24843
45.075283,-0.7101922,1.5004376
44.90813,-0.64319885,0.6583851
44.872513,-0.45847148,-0.94997674
44.973423,-0.17185153,-2.8116336
45.243114,0.25214404,-3.9715486
45.712406,0.85548574,-4.8784976
46.366913,1.5513668,-6.726437
45.61218,2.815564,1.6744314
