Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z
0,-7.5857715507899,-5.78722008407857,3.01053016419496,-0.0555510286194131,-0.0653924321135623,-0.0300470516981666,-2.25278682515977,-3.65906491466668,4.17783448529872,-0.056280243180374,-0.0248985701249619,-0.00224927956485899,0.0633095094923419,0.291139466304756,-1.86095538993233,-0.0514429118859187,-0.015471548672021,0.00713782873109513,-2.26466937741588,0.821811702999945,-3.81856341020284,0.0407627656737574,-0.196111045471511,-0.0869409293058918
0.005,-7.57746429784953,-5.7802766441705,3.00806407433868,-0.055542293787557,-0.0640526567219502,-0.030684169934186,-2.25132182244693,-3.65484928740588,4.17292633410163,-0.0549264724093436,-0.0258288238188904,-0.00283417524224392,0.0620874023304623,0.290693626290491,-1.85891561480094,-0.0491833556391645,-0.0166250790145815,0.010424692413207,-2.26319282605652,0.820838989429287,-3.81393421555271,0.0476330481716962,-0.187930340839632,-0.0829802435821328
0.01,-7.5691570449091,-5.77333320426243,3.00559798448239,-0.0550389013177756,-0.0605142280790877,-0.0318265706312266,-2.24985681973396,-3.65063366014507,4.16801818290453,-0.0513605671291343,-0.0277525016585035,-0.00418199020143808,0.0608652951684689,0.290247786276254,-1.85687583966956,-0.0435791961347994,-0.0191569747245577,0.0179240613785495,-2.26171627469728,0.819866275858631,-3.80930502090251,0.0631129174990302,-0.167061594588007,-0.0728896077777056
0.015,-7.56084979196879,-5.76638976435436,3.00313189462622,-0.0536853584269235,-0.0555847645423115,-0.0327432281640267,-2.24839181702089,-3.64641803288426,4.16311003170744,-0.0464399385011242,-0.0296543337791429,-0.0057198267508273,0.0596431880065893,0.289801946262003,-1.85483606453816,-0.0363450627948673,-0.0218932623426554,0.0265906433799383,-2.26023972333803,0.818893562287975,-3.80467582625235,0.0805754606614681,-0.139130768555554,-0.0595264300151285
0.02,-7.55254253902837,-5.75944632444629,3.00066580476994,-0.0516758327935439,-0.0498396859742592,-0.0334831760399691,-2.24692681430804,-3.64220240562346,4.15820188051034,-0.0407998040211188,-0.0312943572967227,-0.0071584785296543,0.0584210808444823,0.289356106247737,-1.85279628940677,-0.0284507212780838,-0.0243797352229065,0.0351624695438793,-2.25876317197867,0.817920848717318,-3.80004663160219,0.0974330777193068,-0.107804093379575,-0.0447309290902353
0.025,-7.544235286088,-5.75250288453822,2.99819971491365,-0.0491439930633982,-0.0437488592506298,-0.0340034220641217,-2.24546181159508,-3.63798677836265,4.15329372931324,-0.0349441915011545,-0.0324959546262239,-0.00829060928316513,0.0571989736826026,0.288910266233501,-1.85075651427537,-0.0206598500665392,-0.0262834796976136,0.0426488998128898,-2.25728662061931,0.816948135146662,-3.79541743695202,0.111689534235495,-0.0760698216526441,-0.0299837950228894
0.03,-7.53592803314763,-5.74555944463015,2.99573362505748,-0.0462172474875594,-0.0377553684701063,-0.0341998426643217,-2.243996808882,-3.63377115110184,4.14838557811615,-0.029309667297796,-0.0331481149598619,-0.00899119878718596,0.0559768665206093,0.288464426219235,-1.84871673914398,-0.0135845066660668,-0.0274037972754486,0.0483741317480942,-2.25581006925995,0.815975421576004,-3.79078824230186,0.121993643186113,-0.0461047011420555,-0.0163271912005908
0.035,-7.5276207802072,-5.7386160047221,2.9932675352012,-0.0430293040861311,-0.0322749493412562,-0.0339670572781389,-2.24253180616904,-3.62955552384104,4.14347742691906,-0.0242721875435536,-0.0331998050212263,-0.00919133723539859,0.054754759358616,0.288018586204984,-1.84667696401259,-0.00770396535709955,-0.027640391508426,0.0519335207879245,-2.25433351790082,0.815002708005348,-3.78615904765167,0.127554772383375,-0.0193727894678799,-0.00443236811798045
0.04,-7.51931352726683,-5.731672564814,2.99080144534503,-0.0396883609745722,-0.0276031487010102,-0.0332145755740863,-2.24106680345619,-3.62533989658023,4.13856927572195,-0.0200993303583363,-0.0326469057441894,-0.00886080702551152,0.0535326521967363,0.287572746190747,-1.84463718888121,-0.00332998572215478,-0.0269628500815573,0.0531455113817902,-2.25285696654146,0.814029994434692,-3.78152985300153,0.128062743832476,0.00322920541376641,0.00530928640564822
0.045,-7.51100627432646,-5.72472912490593,2.98833535548874,-0.0362420752589583,-0.0238545093913052,-0.0318505427949449,-2.23960180074312,-3.62112426931942,4.13366112452486,-0.0169146484329655,-0.0315153440280066,-0.00800074128373467,0.052310545034743,0.287126906176482,-1.84259741374981,-0.000583326068712492,-0.0253901832692942,0.052008177086997,-2.2513804151821,0.813057280864035,-3.77690065835134,0.123600566135817,0.0212339597193189,0.0127124318808191
